state,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
OH,0.5161,0.6492,0.6633,0.4948,0.2239,0.5915,0.5132,0.1548,0.677,0.6169,0.5206,0.1945,0.8228,0.7591,0.551,0.8178,0.7364,0.7875,0.6099,0.4739,0.2129,0.7736,0.8751,0.824,0.8309,0.5209,0.7771,0.7461,0.7293,0.7601,0.7402,0.3163,0.2176,0.4091,0.3137,1,0.6115,0.7458,0.8495,0.5923,0.6955,0.7219,0.7208,0.237,0.5815,0.7046,0.6456,0.6664,0.8543,0.7458,0.7069
OK,0.6706,0.6997,0.7452,0.4042,0.2163,0.4915,0.1934,0.165,0.2991,0.3856,0.4776,0.1862,0.6533,0.6884,0.1971,0.7305,0.7609,0.7683,0.5518,0.1837,0.1826,0.4983,0.5753,0.5932,0.714,0.575,0.6666,0.6869,0.6861,0.6171,0.4531,0.1804,0.1973,0.2761,0.1993,0.6115,1,0.5754,0.539,0.2417,0.6328,0.7041,0.7538,0.3409,0.4533,0.4085,0.3444,0.4132,0.58,0.7147,0.7171
OR,0.5923,0.4633,0.5453,0.5714,0.2179,0.7089,0.5449,0.1548,0.5163,0.5853,0.2638,0.1835,0.7603,0.7132,0.5352,0.7126,0.7063,0.6806,0.3369,0.5295,0.1854,0.738,0.7432,0.8022,0.7079,0.3064,0.7498,0.5622,0.6667,0.7141,0.7392,0.3737,0.2515,0.4286,0.3467,0.7458,0.5754,1,0.7779,0.6178,0.4727,0.682,0.5833,0.2261,0.5592,0.5866,0.6404,0.746,0.7924,0.6581,0.6494
PA,0.4743,0.5579,0.5756,0.5414,0.2392,0.6341,0.6457,0.1614,0.7276,0.708,0.4268,0.1982,0.7847,0.706,0.6407,0.7474,0.6744,0.7112,0.503,0.5975,0.284,0.8109,0.8682,0.8274,0.7651,0.4125,0.7548,0.6639,0.6685,0.7217,0.8038,0.4505,0.2224,0.4654,0.4289,0.8495,0.539,0.7779,1,0.6927,0.6106,0.6692,0.6336,0.23,0.5625,0.7276,0.7075,0.7267,0.8586,0.6941,0.6531
RI,0.3466,0.2194,0.2571,0.5988,0.3122,0.6021,0.7301,0.1259,0.6023,0.6079,0.2061,0.2003,0.5461,0.4843,0.7188,0.457,0.4094,0.3994,0.2092,0.7,0.3175,0.6293,0.6279,0.6302,0.4626,0.1859,0.5133,0.3238,0.4402,0.5265,0.668,0.6004,0.2872,0.5476,0.5779,0.5923,0.2417,0.6178,0.6927,1,0.2737,0.4299,0.2984,0.2011,0.5252,0.5381,0.6153,0.73740000000000006,0.6534,0.4022,0.4021
SC,0.3661,0.8301,0.7485,0.2388,0.2327,0.2729,0.2402,0.1652,0.5626,0.4789,0.7472,0.2099,0.631,0.5576,0.2627,0.71,0.626,0.7474,0.7962,0.2146,0.2001,0.5595,0.6942,0.5532,0.7376,0.7635,0.61240000000000006,0.8486,0.5838,0.5284,0.4855,0.1981,0.2078,0.2286,0.2045,0.6955,0.6328,0.4727,0.6106,0.2737,1,0.5989,0.7787,0.2353,0.2717,0.5958,0.4198,0.3027,0.604,0.7017,0.6063
SD,0.6888,0.6194,0.7009,0.4213,0.2042,0.58,0.3507,0.167,0.4471,0.4069,0.3954,0.1957,0.7907,0.7728,0.3247,0.7738,0.7915,0.7855,0.4969,0.319,0.1845,0.6865,0.697,0.7453,0.7694,0.473,0.7956,0.6692,0.7894,0.7318,0.65,0.1988,0.2089,0.2625,0.1993,0.7219,0.7041,0.682,0.6692,0.4299,0.5989,1,0.7144,0.2272,0.5491,0.5251,0.5852,0.5726,0.7414,0.7559,0.7878
TN,0.5464,0.779,0.7898,0.3102,0.2111,0.4453,0.2239,0.1625,0.4595,0.4409,0.615,0.1999,0.7064,0.6803,0.2631,0.7862,0.7675,0.8229,0.6833,0.1988,0.1768,0.5814,0.6947,0.6532,0.7967,0.6602,0.6983,0.8197,0.7068,0.6393,0.5245,0.1808,0.2,0.2201,0.1864,0.7208,0.7538,0.5833,0.6336,0.2984,0.7787,0.7144,1,0.2168,0.4084,0.5764,0.4295,0.4227,0.6569,0.7642,0.7241
TX,0.3845,0.2204,0.2096,0.5742,0.5993,0.2555,0.2038,0.1432,0.2038,0.2906,0.2377,0.495,0.2476,0.2593,0.1975,0.2418,0.2317,0.2341,0.2196,0.1975,0.1724,0.2274,0.2383,0.2353,0.2385,0.2148,0.2471,0.2257,0.2258,0.2283,0.2217,0.2266,0.5748,0.5703,0.2916,0.237,0.3409,0.2261,0.23,0.2011,0.2353,0.2272,0.2168,1,0.3264,0.2001,0.2051,0.2451,0.2404,0.2203,0.2231
UT,0.5824,0.2846,0.3737,0.5444,0.2343,0.6561,0.3929,0.1644,0.3296,0.263,0.2213,0.1931,0.5842,0.6531,0.4942,0.5686,0.5827,0.5018,0.2914,0.4706,0.2059,0.4568,0.544,0.6457,0.535,0.2181,0.5185,0.3241,0.6289,0.659,0.4992,0.3079,0.2033,0.4378,0.3646,0.5815,0.4533,0.5592,0.5625,0.5252,0.2717,0.5491,0.4084,0.3264,1,0.4096,0.4124,0.6348,0.5991,0.4278,0.5459
VA,0.2645,0.5299,0.4883,0.2756,0.2058,0.537,0.5737,0.1599,0.6874,0.5161,0.501,0.2044,0.6329,0.529,0.5285,0.6089,0.5767,0.5916,0.5102,0.5529,0.3858,0.6564,0.7241,0.7095,0.6725,0.4206,0.6181,0.6428,0.5457,0.5743,0.6796,0.3722,0.1945,0.2139,0.3511,0.7046,0.4085,0.5866,0.7276,0.5381,0.5958,0.5251,0.5764,0.2001,0.4096,1,0.6134,0.526,0.6746,0.5583,0.5077
VT,0.432,0.3801,0.414,0.3928,0.2155,0.5334,0.6485,0.1594,0.6141,0.4932,0.2227,0.2073,0.6835,0.5537,0.4754,0.5391,0.5223,0.5271,0.2964,0.5936,0.2531,0.8008,0.6772,0.7177,0.5789,0.2571,0.697,0.4776,0.5706,0.5758,0.7995,0.3918,0.223,0.2797,0.3081,0.6456,0.3444,0.6404,0.7075,0.6153,0.4198,0.5852,0.4295,0.2051,0.4124,0.6134,1,0.6294,0.7431,0.548,0.5461
WA,0.5399,0.2889,0.385,0.6716,0.3142,0.7673,0.6474,0.1436,0.4819,0.5431,0.2099,0.1967,0.6681,0.6264,0.6372,0.5864,0.5873,0.5352,0.2217,0.6645,0.1959,0.6757,0.6702,0.752,0.5855,0.2113,0.6388,0.3938,0.5846,0.6482,0.7073,0.5061,0.3088,0.5296,0.4828,0.6664,0.4132,0.746,0.7267,0.73740000000000006,0.3027,0.5726,0.4227,0.2451,0.6348,0.526,0.6294,1,0.735,0.5102,0.5409
WI,0.5744,0.5713,0.6173,0.5324,0.2334,0.6484,0.5886,0.1637,0.6607,0.603,0.3919,0.198,0.8493,0.7638,0.5689,0.7885,0.73,0.7536,0.4985,0.5491,0.2122,0.8421,0.8625,0.8617,0.7977,0.4226,0.8174,0.6742,0.7405,0.7709,0.815,0.3586,0.2272,0.4161,0.3315,0.8543,0.58,0.7924,0.8586,0.6534,0.604,0.7414,0.6569,0.2404,0.5991,0.6746,0.7431,0.735,1,0.7323,0.7146
WV,0.5945,0.6979,0.7332,0.3892,0.1963,0.4976,0.3377,0.1679,0.5053,0.5085,0.4906,0.1836,0.7689,0.7282,0.3111,0.7832,0.7646,0.8066,0.5774,0.2678,0.1837,0.6864,0.733,0.7044,0.791,0.5608,0.7745,0.7529,0.7277,0.6856,0.629,0.1937,0.2003,0.2715,0.1938,0.7458,0.7147,0.6581,0.6941,0.4022,0.7017,0.7559,0.7642,0.2203,0.4278,0.5583,0.548,0.5102,0.7323,1,0.76
WY,0.6808,0.6357,0.7014,0.4088,0.2,0.561,0.3275,0.1621,0.4201,0.4121,0.4012,0.1963,0.7631,0.7698,0.2928,0.7637,0.7907,0.785,0.5059,0.2857,0.1828,0.6601,0.6766,0.7166,0.7633,0.4759,0.7758,0.668,0.7859,0.7267,0.625,0.1938,0.2038,0.2535,0.1947,0.7069,0.7171,0.6494,0.6531,0.4021,0.6063,0.7878,0.7241,0.2231,0.5459,0.5077,0.5461,0.5409,0.7146,0.76,1
